#{"t_start": 1774912042.6845925, "env_id": "None"}
r,l,t
16.518633,24,385.192699
5.9532175,7,387.816
21.375494,30,387.81608
1.5982071,3,387.816101
1.1962425,2,387.816118
0.96601653,2,387.816135
21.61817,30,389.626081
12.252296,18,389.626163
1.7671529,3,389.626181
7.459656,11,391.40214
21.883574,30,391.402218
1.7882915,3,393.326874
17.279016,25,393.326957
8.2448,12,393.326983
22.92333,30,395.999032
3.9590473,5,395.999118
5.5572557,7,395.999141
22.639395,30,395.999155
18.289425,26,395.999169
3.2140667,5,397.971978
8.585444,13,399.899503
13.162518,15,399.899592
1.9602091,3,399.899615
11.945583,16,399.899632
16.595533,24,401.918723
7.319828,9,401.918813
1.2765543,2,404.80733
5.564969,8,404.807416
7.419383,11,404.807433
8.520893,10,404.807447
9.928532,13,406.600534
3.7585073,5,406.600798
4.9571776,6,406.60092
4.953753,6,406.601032
6.553784,8,406.601146
1.9602091,3,406.601254
9.964404,12,408.504912
3.9571974,5,408.504988
7.6803856,10,410.379421
8.136248,11,410.379512
4.9571724,6,413.109387
12.180897,16,413.109489
14.258189,18,413.109511
6.98759,8,413.109528
1.8555311,3,413.109545
14.358721,16,414.991613
7.1606526,9,414.991706
11.769604,14,417.037043
12.5568075,15,417.037105
4.5596437,6,417.03712
15.446505,18,419.093492
9.359977,11,419.093579
4.560082,6,419.093601
1.9602091,3,419.093617
12.223083,17,421.842667
7.799922,9,421.842748
2.9894383,4,421.842771
8.358344,10,421.842789
7.2465067,9,423.843855
3.9894397,5,423.850365
1.9275646,3,423.850443
1.7882915,3,425.495523
5.7840867,7,425.495608
3.765991,5,425.495628
7.8273025,10,425.495645
14.559434,16,425.495659
17.75461,20,427.355312
7.7601495,9,427.355417
5.792283,7,427.355443
13.438753,15,427.355464
1.9229141,3,430.149561
16.284826,19,430.149617
16.610329,19,432.130292
24.123125,30,432.130366
1.278391,2,432.130383
13.758472,15,434.084205
1.9602091,3,434.084295
4.9571724,6,434.084315
5.1934905,6,434.084332
2.9592168,4,434.084348
2.9592168,4,434.084364
6.7583036,8,435.914533
12.205043,14,435.914733
12.721991,14,435.914774
5.4080234,7,438.50256
0.96601653,2,438.502649
3.9572015,5,440.197938
6.922773,8,440.198054
1.9583726,3,440.198078
5.9571633,7,440.198094
10.851546,12,440.19811
2.7591155,4,440.198126
12.404271,14,440.198142
14.599226,16,441.970065
8.2716675,9,443.922354
16.004717,18,443.922427
3.565887,5,443.922449
13.957162,15,443.922465
7.9571624,9,443.922481
2.41598,4,448.099806
13.286905,16,449.97885
5.792283,7,449.978947
19.453085,22,449.978973
14.748946,16,451.749002
7.114165,9,451.749254
10.5632925,12,451.74945
14.761141,16,454.519331
3.7593386,5,454.519395
1.9602091,3,454.519408
5.756084,7,454.519418
3.7923212,5,454.519426
7.917595,10,454.519435
6.364159,8,456.095935
8.950319,10,456.09603
0.96601653,2,456.096054
9.591571,11,456.096074
0.96601653,2,456.09609
10.216143,13,457.819286
8.398865,11,457.819347
7.1009154,9,457.819361
2.9306767,5,459.484653
3.2509303,5,459.484745
6.248054,8,459.484769
3.7581232,5,459.484786
2.7864804,4,462.379184
2.7591155,4,462.379272
2.050634,3,462.37929
20.556732,22,462.379304
10.557278,13,464.133331
24.004126,28,464.133401
2.5990593,4,464.133415
9.457529,11,464.133425
8.555564,10,464.133435
14.85525,16,464.133443
1.7269642,3,464.133451
4.3670235,6,465.781785
1.7671529,3,465.781876
19.127674,23,465.781896
10.121556,11,465.781915
10.347149,14,467.610736
11.978896,15,467.610847
17.75476,19,467.610874
11.128371,14,467.610892
1.9602091,3,470.623734
1.7649229,3,470.623835
2.9592168,4,470.623857
7.373514,9,472.321893
3.9590473,5,472.322034
14.9531975,16,472.32206
20.401907,23,474.216426
3.2023098,5,475.904797
8.559436,10,475.904877
9.760148,11,478.92948
3.7863147,5,478.92968
7.9571714,9,478.933829
12.589863,14,480.499889
10.595269,12,480.499968
3.677745,5,480.499985
4.5204573,6,482.288948
24.439194,30,482.289037
6.554014,8,483.805596
9.756449,11,483.805677
5.160679,7,486.608691
4.7561126,6,486.608785
9.770604,12,488.388282
7.794132,9,488.38837
9.659194,13,490.232367
4.9676175,7,491.91694
13.365692,15,491.917018
12.305045,17,491.917035
3.9967852,6,494.815464
14.205757,17,494.815582
17.80833,21,496.606755
5.653392,9,496.606822
14.638507,16,496.606835
6.7583036,8,496.606846
10.788574,12,500.103036
2.403409,4,500.103283
1.9583726,3,502.922639
16.523905,19,502.92297
2.9573765,4,504.62652
16.749298,18,504.626611
14.407036,17,506.292033
1.7649229,3,506.292109
16.215254,24,506.292125
23.962915,26,506.29214
21.754501,24,508.015966
8.571571,12,510.785862
10.790992,14,512.551543
8.293235,12,512.551635
1.9602091,3,512.551665
7.483176,10,512.55169
4.532955,7,514.672502
8.204246,11,514.672656
2.5660536,4,514.672705
20.203773,24,514.672746
6.5614834,8,519.485529
4.9620094,7,519.485787
16.952406,23,519.485916
17.687124,22,521.200285
11.184268,15,525.003601
22.359552,30,525.003682
3.9540207,5,525.003699
19.640726,22,525.003713
